year,sentiment_score
1982,0.1554166666666666
1983,0.1094805555555555
1984,0.1465666666666666
1985,0.0
1986,0.0834444444444444
1987,0.0484545454545454
1988,0.1043833333333333
1989,-0.0076854166666666
1990,0.1048422222222222
1991,0.1153629629629629
1992,0.0590814814814814
1993,0.0731666666666666
1994,-0.0343023809523809
1995,0.0132392156862745
1996,-0.022059420289855
1997,0.0187037037037037
1998,0.0561041666666666
1999,0.172298
2000,0.0537443333333333
2001,0.0877673333333333
2002,0.02307
2003,0.0433169999999999
2004,0.0328576666666666
2005,0.0563873333333333
2006,0.0696099999999999
2007,-0.0315059999999999
2008,0.0046285714285714
2009,0.032550234741784
2010,0.0310309941520467
2011,-0.0068837209302325
2012,0.0220095238095238
2013,0.0497967741935483
2014,0.1212851851851852
2015,0.14563125
2016,0.0556444444444444
2017,0.230856862745098
2018,-0.025024074074074
2019,0.1383722222222222
