year,sentiment_score
1982,0.12566666666666668
1983,0.024372222222222222
1984,0.13882753623188404
1985,0.06433333333333331
1986,0.02130869565217391
1987,0.05754027777777778
1988,0.03635625000000001
1989,0.05686521739130435
1990,0.01613763440860215
1991,0.015087777777777782
1992,-0.06127499999999999
1993,-0.049627619047619045
1994,0.12390000000000001
1995,0.08838518518518518
1996,-0.006376666666666653
1997,0.07540808080808081
1998,0.11399252873563215
1999,0.10147976190476186
2000,0.1179365591397849
2001,0.048139303482587076
2002,0.04993253012048194
2003,0.125206734006734
2004,0.13685021645021644
2005,0.1869486590038314
2006,0.10265166666666665
2007,0.06628633333333334
2008,0.14512166666666665
2009,0.14188366666666666
2010,0.07154799999999996
2011,0.08159299999999998
2012,0.10474666666666668
2013,0.14093133333333335
2014,0.12925366666666663
2015,0.1284096666666667
2016,0.079243
2017,0.11267074829931971
2018,0.12247160493827164
2019,0.13269399999999995
