year,count
1982,18
1983,24
1984,23
1985,22
1986,23
1987,24
1988,16
1989,23
1990,31
1991,30
1992,24
1993,35
1994,33
1995,45
1996,30
1997,33
1998,58
1999,56
2000,93
2001,67
2002,83
2003,99
2004,77
2005,87
2006,100
2007,100
2008,100
2009,100
2010,100
2011,100
2012,100
2013,100
2014,100
2015,100
2016,100
2017,98
2018,81
2019,100
